"method","n.dims","left.out.obs","fn","fp"
"CCA-LDA",2,1,8,10
"CCA-LDA",2,2,9,10
"CCA-LDA",2,3,9,11
"CCA-LDA",2,4,8,10
"CCA-LDA",2,5,9,11
"CCA-LDA",2,6,9,11
"CCA-LDA",2,7,10,15
"CCA-LDA",2,8,5,12
"CCA-LDA",2,9,10,13
"CCA-LDA",2,10,9,11
"CCA-LDA",2,11,7,10
"CCA-LDA",2,12,8,14
"CCA-LDA",2,13,6,12
"CCA-LDA",2,14,9,11
"CCA-LDA",2,15,9,11
"CCA-LDA",2,16,9,12
"CCA-LDA",2,17,6,13
"CCA-LDA",2,18,9,10
"CCA-LDA",2,19,10,10
"CCA-LDA",2,20,9,12
"CCA-LDA",2,21,8,10
"CCA-LDA",2,22,9,11
"CCA-LDA",2,23,8,10
"CCA-LDA",2,24,9,10
"CCA-LDA",2,25,8,10
"CCA-LDA",2,26,9,13
"CCA-LDA",2,27,9,11
"CCA-LDA",2,28,7,12
"CCA-LDA",2,29,8,12
"CCA-LDA",2,30,7,10
"CCA-LDA",2,31,8,10
"CCA-LDA",2,32,6,11
"CCA-LDA",2,33,8,11
"CCA-LDA",2,34,10,11
"CCA-LDA",2,35,8,10
"CCA-LDA",2,36,8,11
"CCA-LDA",2,37,7,10
"CCA-LDA",2,38,8,13
"CCA-LDA",2,39,7,13
"CCA-LDA",2,40,5,11
"CCA-LDA",2,41,6,10
"CCA-LDA",2,42,7,10
"CCA-LDA",2,43,7,10
"CCA-LDA",3,1,10,8
"CCA-LDA",3,2,11,9
"CCA-LDA",3,3,10,8
"CCA-LDA",3,4,8,9
"CCA-LDA",3,5,8,9
"CCA-LDA",3,6,8,11
"CCA-LDA",3,7,9,11
"CCA-LDA",3,8,6,11
"CCA-LDA",3,9,11,10
"CCA-LDA",3,10,9,12
"CCA-LDA",3,11,6,12
"CCA-LDA",3,12,9,12
"CCA-LDA",3,13,7,11
"CCA-LDA",3,14,8,13
"CCA-LDA",3,15,9,12
"CCA-LDA",3,16,9,12
"CCA-LDA",3,17,6,11
"CCA-LDA",3,18,6,9
"CCA-LDA",3,19,9,11
"CCA-LDA",3,20,9,12
"CCA-LDA",3,21,9,12
"CCA-LDA",3,22,10,10
"CCA-LDA",3,23,7,10
"CCA-LDA",3,24,9,10
