"sim","method","n.dims","fn","fp"
1,"CCA-LDA",2,5,11
1,"CCA-LDA",3,5,10
1,"CCA-LDA",4,4,8
1,"CCA-LDA",5,3,8
1,"CCA-LDA",6,3,3
1,"CCA-LDA",7,3,3
1,"CCA-LDA",8,4,3
1,"CCA-LDA",9,3,4
1,"CCA-LDA",10,3,4
1,"CCA-LDA",11,4,2
1,"CCA-LDA",12,0,1
1,"CCA-LDA",13,0,0
1,"CCA-LDA",14,0,0
1,"CCA-LDA",15,0,0
1,"CCA-LDA",16,0,0
1,"CCA-LDA",17,0,0
1,"CCA-LDA",18,0,0
1,"CCA-LDA",19,0,0
1,"CCA-LDA",20,0,0
1,"CCA-LDA",21,0,0
1,"CCA-LDA",22,0,0
1,"CCA-LDA",23,0,0
1,"CCA-LDA",24,0,0
1,"CCA-LDA",25,0,0
1,"CCA-LDA",26,0,0
1,"CCA-LDA",27,0,0
1,"CCA-LDA",28,0,0
1,"CCA-LDA",29,0,0
1,"CCA-LDA",30,0,0
1,"CCA-LDA",31,0,0
1,"CCA-LDA",32,0,0
1,"CCA-LDA",33,0,0
1,"CCA-LDA",34,0,0
1,"CCA-LDA",35,0,0
1,"CCA-LDA",36,0,0
1,"CCA-LDA",37,0,0
1,"CCA-LDA",38,0,0
1,"CCA-LDA",39,0,0
1,"PCA-LDA",2,5,7
1,"PCA-LDA",3,6,6
1,"PCA-LDA",4,6,4
1,"PCA-LDA",5,4,6
1,"PCA-LDA",6,4,4
1,"PCA-LDA",7,3,2
1,"PCA-LDA",8,3,4
1,"PCA-LDA",9,3,4
1,"PCA-LDA",10,3,4
1,"PCA-LDA",11,3,2
1,"PCA-LDA",12,3,1
1,"PCA-LDA",13,1,3
1,"PCA-LDA",14,1,1
1,"PCA-LDA",15,1,2
1,"PCA-LDA",16,1,2
1,"PCA-LDA",17,1,3
1,"PCA-LDA",18,1,1
1,"PCA-LDA",19,0,0
1,"PCA-LDA",20,0,0
1,"PCA-LDA",21,0,1
1,"PCA-LDA",22,0,0
1,"PCA-LDA",23,0,1
1,"PCA-LDA",24,0,0
1,"PCA-LDA",25,0,0
1,"PCA-LDA",26,0,0
1,"PCA-LDA",27,0,0
1,"PCA-LDA",28,0,0
1,"PCA-LDA",29,0,0
1,"PCA-LDA",30,0,0
1,"PCA-LDA",31,0,0
1,"PCA-LDA",32,0,0
1,"PCA-LDA",33,0,0
1,"PCA-LDA",34,0,0
1,"PCA-LDA",35,0,0
1,"PCA-LDA",36,0,0
1,"PCA-LDA",37,0,0
1,"PCA-LDA",38,0,0
1,"PCA-LDA",39,0,0
2,"CCA-LDA",2,5,8
2,"CCA-LDA",3,3,9
2,"CCA-LDA",4,2,9
2,"CCA-LDA",5,3,8
2,"CCA-LDA",6,4,4
2,"CCA-LDA",7,5,4
2,"CCA-LDA",8,4,5
2,"CCA-LDA",9,2,3
2,"CCA-LDA",10,3,3
2,"CCA-LDA",11,3,3
2,"CCA-LDA",12,1,0
2,"CCA-LDA",13,1,0
2,"CCA-LDA",14,0,1
2,"CCA-LDA",15,0,1
2,"CCA-LDA",16,0,0
2,"CCA-LDA",17,0,1
2,"CCA-LDA",18,0,1
2,"CCA-LDA",19,0,0
2,"CCA-LDA",20,0,0
2,"CCA-LDA",21,0,0
2,"CCA-LDA",22,0,0
2,"CCA-LDA",23,0,0
2,"CCA-LDA",24,0,0
2,"CCA-LDA",25,0,0
2,"CCA-LDA",26,0,0
2,"CCA-LDA",27,0,0
2,"CCA-LDA",28,0,0
2,"CCA-LDA",29,0,0
2,"CCA-LDA",30,0,0
2,"CCA-LDA",31,0,0
2,"CCA-LDA",32,0,0
2,"CCA-LDA",33,0,0
2,"CCA-LDA",34,0,0
2,"CCA-LDA",35,0,0
2,"CCA-LDA",36,0,0
2,"CCA-LDA",37,0,0
2,"CCA-LDA",38,0,0
2,"CCA-LDA",39,0,0
2,"PCA-LDA",2,5,5
2,"PCA-LDA",3,5,5
2,"PCA-LDA",4,4,6
2,"PCA-LDA",5,3,5
2,"PCA-LDA",6,3,6
2,"PCA-LDA",7,3,6
2,"PCA-LDA",8,3,5
2,"PCA-LDA",9,3,5
2,"PCA-LDA",10,3,5
2,"PCA-LDA",11,3,4
2,"PCA-LDA",12,3,4
2,"PCA-LDA",13,3,5
2,"PCA-LDA",14,1,3
2,"PCA-LDA",15,0,3
2,"PCA-LDA",16,0,3
2,"PCA-LDA",17,0,1
2,"PCA-LDA",18,1,1
2,"PCA-LDA",19,1,1
2,"PCA-LDA",20,1,1
2,"PCA-LDA",21,0,0
2,"PCA-LDA",22,0,0
2,"PCA-LDA",23,0,0
2,"PCA-LDA",24,0,0
2,"PCA-LDA",25,0,0
2,"PCA-LDA",26,0,0
2,"PCA-LDA",27,0,0
2,"PCA-LDA",28,0,0
2,"PCA-LDA",29,0,0
2,"PCA-LDA",30,0,0
2,"PCA-LDA",31,0,0
2,"PCA-LDA",32,0,0
2,"PCA-LDA",33,0,0
2,"PCA-LDA",34,0,0
2,"PCA-LDA",35,0,0
2,"PCA-LDA",36,0,0
2,"PCA-LDA",37,0,0
2,"PCA-LDA",38,0,0
2,"PCA-LDA",39,0,0
3,"CCA-LDA",2,6,12
3,"CCA-LDA",3,7,10
3,"CCA-LDA",4,3,5
3,"CCA-LDA",5,3,6
3,"CCA-LDA",6,3,6
3,"CCA-LDA",7,2,2
3,"CCA-LDA",8,1,5
3,"CCA-LDA",9,1,4
3,"CCA-LDA",10,1,2
3,"CCA-LDA",11,1,1
3,"CCA-LDA",12,1,1
3,"CCA-LDA",13,1,1
3,"CCA-LDA",14,1,1
3,"CCA-LDA",15,1,0
3,"CCA-LDA",16,1,0
3,"CCA-LDA",17,1,0
3,"CCA-LDA",18,0,0
3,"CCA-LDA",19,0,0
3,"CCA-LDA",20,0,0
3,"CCA-LDA",21,0,0
3,"CCA-LDA",22,0,0
3,"CCA-LDA",23,0,0
3,"CCA-LDA",24,0,0
3,"CCA-LDA",25,0,0
3,"CCA-LDA",26,0,0
3,"CCA-LDA",27,0,0
3,"CCA-LDA",28,0,0
3,"CCA-LDA",29,0,0
3,"CCA-LDA",30,0,0
3,"CCA-LDA",31,0,0
3,"CCA-LDA",32,0,0
3,"CCA-LDA",33,0,0
3,"CCA-LDA",34,0,0
3,"CCA-LDA",35,0,0
3,"CCA-LDA",36,0,0
3,"CCA-LDA",37,0,0
3,"CCA-LDA",38,0,0
3,"CCA-LDA",39,0,0
3,"PCA-LDA",2,11,12
3,"PCA-LDA",3,10,13
3,"PCA-LDA",4,7,10
3,"PCA-LDA",5,6,8
3,"PCA-LDA",6,5,7
3,"PCA-LDA",7,5,6
3,"PCA-LDA",8,4,4
3,"PCA-LDA",9,3,6
3,"PCA-LDA",10,3,5
3,"PCA-LDA",11,3,6
3,"PCA-LDA",12,1,4
3,"PCA-LDA",13,2,5
3,"PCA-LDA",14,2,3
3,"PCA-LDA",15,2,1
3,"PCA-LDA",16,2,1
3,"PCA-LDA",17,2,1
3,"PCA-LDA",18,1,0
3,"PCA-LDA",19,0,0
3,"PCA-LDA",20,0,1
3,"PCA-LDA",21,0,1
3,"PCA-LDA",22,0,0
3,"PCA-LDA",23,0,0
3,"PCA-LDA",24,0,0
3,"PCA-LDA",25,0,0
3,"PCA-LDA",26,0,0
3,"PCA-LDA",27,0,0
3,"PCA-LDA",28,0,0
3,"PCA-LDA",29,0,0
3,"PCA-LDA",30,0,0
3,"PCA-LDA",31,0,0
3,"PCA-LDA",32,0,0
3,"PCA-LDA",33,0,0
3,"PCA-LDA",34,0,0
3,"PCA-LDA",35,0,0
3,"PCA-LDA",36,0,0
3,"PCA-LDA",37,0,0
3,"PCA-LDA",38,0,0
3,"PCA-LDA",39,0,0
4,"CCA-LDA",2,6,9
4,"CCA-LDA",3,4,9
4,"CCA-LDA",4,4,6
4,"CCA-LDA",5,5,5
4,"CCA-LDA",6,3,5
4,"CCA-LDA",7,3,6
4,"CCA-LDA",8,1,3
4,"CCA-LDA",9,1,2
4,"CCA-LDA",10,1,3
4,"CCA-LDA",11,1,2
4,"CCA-LDA",12,1,2
4,"CCA-LDA",13,0,1
4,"CCA-LDA",14,0,1
4,"CCA-LDA",15,0,0
4,"CCA-LDA",16,0,0
4,"CCA-LDA",17,0,0
4,"CCA-LDA",18,0,0
4,"CCA-LDA",19,0,0
4,"CCA-LDA",20,0,0
4,"CCA-LDA",21,0,0
4,"CCA-LDA",22,0,0
4,"CCA-LDA",23,0,0
4,"CCA-LDA",24,0,0
4,"CCA-LDA",25,0,0
4,"CCA-LDA",26,0,0
4,"CCA-LDA",27,0,0
4,"CCA-LDA",28,0,0
4,"CCA-LDA",29,0,0
4,"CCA-LDA",30,0,0
4,"CCA-LDA",31,0,0
4,"CCA-LDA",32,0,0
4,"CCA-LDA",33,0,0
4,"CCA-LDA",34,0,0
4,"CCA-LDA",35,0,0
4,"CCA-LDA",36,0,0
4,"CCA-LDA",37,0,0
4,"CCA-LDA",38,0,0
4,"CCA-LDA",39,0,0
4,"PCA-LDA",2,6,11
4,"PCA-LDA",3,6,8
4,"PCA-LDA",4,9,6
4,"PCA-LDA",5,3,6
4,"PCA-LDA",6,3,3
4,"PCA-LDA",7,3,3
4,"PCA-LDA",8,3,3
4,"PCA-LDA",9,4,2
4,"PCA-LDA",10,4,2
4,"PCA-LDA",11,4,5
4,"PCA-LDA",12,2,5
4,"PCA-LDA",13,1,4
4,"PCA-LDA",14,2,5
4,"PCA-LDA",15,3,4
4,"PCA-LDA",16,2,5
4,"PCA-LDA",17,3,5
4,"PCA-LDA",18,0,3
4,"PCA-LDA",19,0,3
4,"PCA-LDA",20,0,0
4,"PCA-LDA",21,0,0
4,"PCA-LDA",22,0,0
4,"PCA-LDA",23,0,0
4,"PCA-LDA",24,0,0
4,"PCA-LDA",25,0,0
4,"PCA-LDA",26,0,0
4,"PCA-LDA",27,0,0
4,"PCA-LDA",28,0,0
4,"PCA-LDA",29,0,0
4,"PCA-LDA",30,0,0
4,"PCA-LDA",31,0,0
4,"PCA-LDA",32,0,0
4,"PCA-LDA",33,0,0
4,"PCA-LDA",34,0,0
4,"PCA-LDA",35,0,0
4,"PCA-LDA",36,0,0
4,"PCA-LDA",37,0,0
4,"PCA-LDA",38,0,0
4,"PCA-LDA",39,0,0
5,"CCA-LDA",2,8,13
5,"CCA-LDA",3,3,8
5,"CCA-LDA",4,2,6
5,"CCA-LDA",5,3,5
5,"CCA-LDA",6,0,3
5,"CCA-LDA",7,2,3
5,"CCA-LDA",8,0,3
5,"CCA-LDA",9,0,3
5,"CCA-LDA",10,0,3
5,"CCA-LDA",11,0,2
5,"CCA-LDA",12,0,0
5,"CCA-LDA",13,0,1
