"sim","method","n.dims","err","n.dims.min","n.dims.max","CV","Pi"
1,"CCA-LDA",27,3,NA,NA,1,1
1,"PCA-LDA",35,0,NA,NA,1,1
10,"CCA-LDA",36,4,NA,NA,1,1
10,"PCA-LDA",25,1,NA,NA,1,1
100,"CCA-LDA",35,2,NA,NA,1,1
100,"PCA-LDA",39,0,NA,NA,1,1
101,"CCA-LDA",25,7,NA,NA,1,1
101,"PCA-LDA",35,1,NA,NA,1,1
102,"CCA-LDA",37,3,NA,NA,1,1
102,"PCA-LDA",33,0,NA,NA,1,1
103,"CCA-LDA",37,4,NA,NA,1,1
103,"PCA-LDA",39,0,NA,NA,1,1
104,"CCA-LDA",30,4,NA,NA,1,1
104,"PCA-LDA",35,3,NA,NA,1,1
105,"CCA-LDA",3,6,NA,NA,1,1
105,"PCA-LDA",35,0,NA,NA,1,1
106,"CCA-LDA",38,2,NA,NA,1,1
106,"PCA-LDA",31,0,NA,NA,1,1
107,"CCA-LDA",31,4,NA,NA,1,1
107,"PCA-LDA",37,0,NA,NA,1,1
108,"CCA-LDA",33,4,NA,NA,1,1
108,"PCA-LDA",33,0,NA,NA,1,1
109,"CCA-LDA",31,2,NA,NA,1,1
109,"PCA-LDA",37,0,NA,NA,1,1
11,"CCA-LDA",38,4,NA,NA,1,1
11,"PCA-LDA",37,1,NA,NA,1,1
110,"CCA-LDA",36,5,NA,NA,1,1
110,"PCA-LDA",34,1,NA,NA,1,1
111,"CCA-LDA",25,3,NA,NA,1,1
111,"PCA-LDA",30,0,NA,NA,1,1
112,"CCA-LDA",32,2,NA,NA,1,1
112,"PCA-LDA",37,0,NA,NA,1,1
113,"CCA-LDA",33,4,NA,NA,1,1
113,"PCA-LDA",33,0,NA,NA,1,1
114,"CCA-LDA",34,2,NA,NA,1,1
114,"PCA-LDA",37,0,NA,NA,1,1
115,"CCA-LDA",28,3,NA,NA,1,1
115,"PCA-LDA",37,0,NA,NA,1,1
116,"CCA-LDA",34,1,NA,NA,1,1
116,"PCA-LDA",39,0,NA,NA,1,1
117,"CCA-LDA",27,0,NA,NA,1,1
117,"PCA-LDA",30,0,NA,NA,1,1
118,"CCA-LDA",20,3,NA,NA,1,1
118,"PCA-LDA",33,2,NA,NA,1,1
119,"CCA-LDA",36,3,NA,NA,1,1
119,"PCA-LDA",32,0,NA,NA,1,1
12,"CCA-LDA",10,4,NA,NA,1,1
12,"PCA-LDA",37,1,NA,NA,1,1
120,"CCA-LDA",31,6,NA,NA,1,1
120,"PCA-LDA",24,1,NA,NA,1,1
121,"CCA-LDA",36,3,NA,NA,1,1
121,"PCA-LDA",39,0,NA,NA,1,1
122,"CCA-LDA",27,2,NA,NA,1,1
122,"PCA-LDA",17,1,NA,NA,1,1
123,"CCA-LDA",20,5,NA,NA,1,1
123,"PCA-LDA",38,0,NA,NA,1,1
124,"CCA-LDA",32,4,NA,NA,1,1
124,"PCA-LDA",29,0,NA,NA,1,1
125,"CCA-LDA",28,3,NA,NA,1,1
125,"PCA-LDA",25,1,NA,NA,1,1
126,"CCA-LDA",37,2,NA,NA,1,1
126,"PCA-LDA",29,0,NA,NA,1,1
127,"CCA-LDA",39,4,NA,NA,1,1
127,"PCA-LDA",34,0,NA,NA,1,1
128,"CCA-LDA",28,1,NA,NA,1,1
128,"PCA-LDA",31,0,NA,NA,1,1
129,"CCA-LDA",28,2,NA,NA,1,1
129,"PCA-LDA",37,0,NA,NA,1,1
13,"CCA-LDA",35,4,NA,NA,1,1
13,"PCA-LDA",32,0,NA,NA,1,1
130,"CCA-LDA",34,6,NA,NA,1,1
130,"PCA-LDA",35,0,NA,NA,1,1
131,"CCA-LDA",33,2,NA,NA,1,1
131,"PCA-LDA",35,0,NA,NA,1,1
132,"CCA-LDA",35,0,NA,NA,1,1
132,"PCA-LDA",30,0,NA,NA,1,1
133,"CCA-LDA",13,9,NA,NA,1,1
133,"PCA-LDA",36,1,NA,NA,1,1
134,"CCA-LDA",27,5,NA,NA,1,1
134,"PCA-LDA",37,1,NA,NA,1,1
135,"CCA-LDA",39,3,NA,NA,1,1
135,"PCA-LDA",39,0,NA,NA,1,1
136,"CCA-LDA",20,3,NA,NA,1,1
136,"PCA-LDA",26,1,NA,NA,1,1
137,"CCA-LDA",31,4,NA,NA,1,1
137,"PCA-LDA",39,2,NA,NA,1,1
138,"CCA-LDA",37,2,NA,NA,1,1
138,"PCA-LDA",36,0,NA,NA,1,1
139,"CCA-LDA",33,5,NA,NA,1,1
139,"PCA-LDA",39,1,NA,NA,1,1
14,"CCA-LDA",39,2,NA,NA,1,1
14,"PCA-LDA",38,0,NA,NA,1,1
140,"CCA-LDA",37,1,NA,NA,1,1
140,"PCA-LDA",35,0,NA,NA,1,1
141,"CCA-LDA",33,7,NA,NA,1,1
141,"PCA-LDA",39,0,NA,NA,1,1
142,"CCA-LDA",16,4,NA,NA,1,1
142,"PCA-LDA",34,1,NA,NA,1,1
143,"CCA-LDA",39,2,NA,NA,1,1
143,"PCA-LDA",37,1,NA,NA,1,1
144,"CCA-LDA",26,3,NA,NA,1,1
144,"PCA-LDA",38,0,NA,NA,1,1
145,"CCA-LDA",37,3,NA,NA,1,1
145,"PCA-LDA",33,0,NA,NA,1,1
146,"CCA-LDA",23,3,NA,NA,1,1
146,"PCA-LDA",37,0,NA,NA,1,1
147,"CCA-LDA",34,4,NA,NA,1,1
147,"PCA-LDA",34,0,NA,NA,1,1
148,"CCA-LDA",15,6,NA,NA,1,1
148,"PCA-LDA",37,1,NA,NA,1,1
149,"CCA-LDA",38,4,NA,NA,1,1
149,"PCA-LDA",35,0,NA,NA,1,1
15,"CCA-LDA",38,4,NA,NA,1,1
15,"PCA-LDA",37,0,NA,NA,1,1
150,"CCA-LDA",18,3,NA,NA,1,1
150,"PCA-LDA",39,1,NA,NA,1,1
151,"CCA-LDA",26,5,NA,NA,1,1
151,"PCA-LDA",28,0,NA,NA,1,1
152,"CCA-LDA",39,7,NA,NA,1,1
152,"PCA-LDA",34,3,NA,NA,1,1
153,"CCA-LDA",33,4,NA,NA,1,1
153,"PCA-LDA",35,0,NA,NA,1,1
154,"CCA-LDA",36,3,NA,NA,1,1
154,"PCA-LDA",27,1,NA,NA,1,1
155,"CCA-LDA",28,8,NA,NA,1,1
155,"PCA-LDA",28,1,NA,NA,1,1
156,"CCA-LDA",22,3,NA,NA,1,1
156,"PCA-LDA",29,0,NA,NA,1,1
157,"CCA-LDA",29,4,NA,NA,1,1
157,"PCA-LDA",21,2,NA,NA,1,1
158,"CCA-LDA",32,2,NA,NA,1,1
158,"PCA-LDA",32,0,NA,NA,1,1
159,"CCA-LDA",35,7,NA,NA,1,1
159,"PCA-LDA",30,1,NA,NA,1,1
16,"CCA-LDA",32,6,NA,NA,1,1
16,"PCA-LDA",28,0,NA,NA,1,1
160,"CCA-LDA",33,3,NA,NA,1,1
160,"PCA-LDA",36,0,NA,NA,1,1
161,"CCA-LDA",36,1,NA,NA,1,1
161,"PCA-LDA",30,3,NA,NA,1,1
162,"CCA-LDA",37,5,NA,NA,1,1
162,"PCA-LDA",35,1,NA,NA,1,1
163,"CCA-LDA",26,4,NA,NA,1,1
163,"PCA-LDA",28,1,NA,NA,1,1
164,"CCA-LDA",23,5,NA,NA,1,1
164,"PCA-LDA",39,1,NA,NA,1,1
165,"CCA-LDA",36,4,NA,NA,1,1
165,"PCA-LDA",35,1,NA,NA,1,1
166,"CCA-LDA",28,4,NA,NA,1,1
166,"PCA-LDA",34,0,NA,NA,1,1
167,"CCA-LDA",32,3,NA,NA,1,1
167,"PCA-LDA",36,1,NA,NA,1,1
168,"CCA-LDA",27,3,NA,NA,1,1
168,"PCA-LDA",38,0,NA,NA,1,1
169,"CCA-LDA",39,5,NA,NA,1,1
169,"PCA-LDA",34,1,NA,NA,1,1
17,"CCA-LDA",36,2,NA,NA,1,1
17,"PCA-LDA",39,0,NA,NA,1,1
170,"CCA-LDA",36,4,NA,NA,1,1
170,"PCA-LDA",35,0,NA,NA,1,1
171,"CCA-LDA",37,5,NA,NA,1,1
171,"PCA-LDA",30,0,NA,NA,1,1
172,"CCA-LDA",34,5,NA,NA,1,1
172,"PCA-LDA",38,0,NA,NA,1,1
173,"CCA-LDA",25,3,NA,NA,1,1
173,"PCA-LDA",25,0,NA,NA,1,1
174,"CCA-LDA",33,3,NA,NA,1,1
174,"PCA-LDA",32,0,NA,NA,1,1
175,"CCA-LDA",35,4,NA,NA,1,1
175,"PCA-LDA",34,0,NA,NA,1,1
176,"CCA-LDA",35,2,NA,NA,1,1
176,"PCA-LDA",31,0,NA,NA,1,1
177,"CCA-LDA",38,4,NA,NA,1,1
177,"PCA-LDA",39,0,NA,NA,1,1
178,"CCA-LDA",37,2,NA,NA,1,1
178,"PCA-LDA",33,1,NA,NA,1,1
179,"CCA-LDA",38,3,NA,NA,1,1
179,"PCA-LDA",36,0,NA,NA,1,1
18,"CCA-LDA",24,3,NA,NA,1,1
18,"PCA-LDA",32,2,NA,NA,1,1
180,"CCA-LDA",39,2,NA,NA,1,1
180,"PCA-LDA",32,0,NA,NA,1,1
181,"CCA-LDA",30,7,NA,NA,1,1
181,"PCA-LDA",39,1,NA,NA,1,1
182,"CCA-LDA",25,4,NA,NA,1,1
182,"PCA-LDA",36,0,NA,NA,1,1
183,"CCA-LDA",35,4,NA,NA,1,1
183,"PCA-LDA",37,1,NA,NA,1,1
184,"CCA-LDA",38,4,NA,NA,1,1
184,"PCA-LDA",34,0,NA,NA,1,1
185,"CCA-LDA",35,1,NA,NA,1,1
185,"PCA-LDA",39,0,NA,NA,1,1
186,"CCA-LDA",21,1,NA,NA,1,1
186,"PCA-LDA",37,0,NA,NA,1,1
187,"CCA-LDA",25,3,NA,NA,1,1
187,"PCA-LDA",37,0,NA,NA,1,1
188,"CCA-LDA",34,2,NA,NA,1,1
188,"PCA-LDA",26,0,NA,NA,1,1
189,"CCA-LDA",38,4,NA,NA,1,1
189,"PCA-LDA",32,0,NA,NA,1,1
19,"CCA-LDA",38,3,NA,NA,1,1
19,"PCA-LDA",31,0,NA,NA,1,1
190,"CCA-LDA",32,3,NA,NA,1,1
190,"PCA-LDA",32,0,NA,NA,1,1
191,"CCA-LDA",36,6,NA,NA,1,1
191,"PCA-LDA",39,1,NA,NA,1,1
192,"CCA-LDA",36,2,NA,NA,1,1
192,"PCA-LDA",33,0,NA,NA,1,1
193,"CCA-LDA",38,3,NA,NA,1,1
193,"PCA-LDA",30,0,NA,NA,1,1
194,"CCA-LDA",35,5,NA,NA,1,1
194,"PCA-LDA",35,0,NA,NA,1,1
195,"CCA-LDA",22,4,NA,NA,1,1
195,"PCA-LDA",33,1,NA,NA,1,1
196,"CCA-LDA",31,4,NA,NA,1,1
196,"PCA-LDA",38,0,NA,NA,1,1
197,"CCA-LDA",38,7,NA,NA,1,1
197,"PCA-LDA",39,0,NA,NA,1,1
198,"CCA-LDA",17,5,NA,NA,1,1
198,"PCA-LDA",38,0,NA,NA,1,1
199,"CCA-LDA",29,5,NA,NA,1,1
199,"PCA-LDA",28,2,NA,NA,1,1
2,"CCA-LDA",19,4,NA,NA,1,1
2,"PCA-LDA",24,2,NA,NA,1,1
20,"CCA-LDA",14,4,NA,NA,1,1
20,"PCA-LDA",30,2,NA,NA,1,1
200,"CCA-LDA",27,3,NA,NA,1,1
200,"PCA-LDA",39,2,NA,NA,1,1
21,"CCA-LDA",33,2,NA,NA,1,1
21,"PCA-LDA",38,1,NA,NA,1,1
22,"CCA-LDA",31,4,NA,NA,1,1
22,"PCA-LDA",36,0,NA,NA,1,1
23,"CCA-LDA",34,0,NA,NA,1,1
23,"PCA-LDA",32,0,NA,NA,1,1
24,"CCA-LDA",37,4,NA,NA,1,1
24,"PCA-LDA",38,1,NA,NA,1,1
25,"CCA-LDA",38,3,NA,NA,1,1
25,"PCA-LDA",38,0,NA,NA,1,1
26,"CCA-LDA",36,2,NA,NA,1,1
26,"PCA-LDA",33,0,NA,NA,1,1
27,"CCA-LDA",29,6,NA,NA,1,1
27,"PCA-LDA",31,1,NA,NA,1,1
28,"CCA-LDA",25,1,NA,NA,1,1
28,"PCA-LDA",39,0,NA,NA,1,1
29,"CCA-LDA",23,4,NA,NA,1,1
29,"PCA-LDA",36,1,NA,NA,1,1
3,"CCA-LDA",32,3,NA,NA,1,1
3,"PCA-LDA",36,0,NA,NA,1,1
30,"CCA-LDA",31,3,NA,NA,1,1
30,"PCA-LDA",39,1,NA,NA,1,1
31,"CCA-LDA",31,5,NA,NA,1,1
31,"PCA-LDA",32,0,NA,NA,1,1
32,"CCA-LDA",33,0,NA,NA,1,1
32,"PCA-LDA",39,0,NA,NA,1,1
33,"CCA-LDA",21,2,NA,NA,1,1
33,"PCA-LDA",29,1,NA,NA,1,1
34,"CCA-LDA",29,4,NA,NA,1,1
34,"PCA-LDA",38,1,NA,NA,1,1
