"n.dims","mu.p","sd.p","mu.n","sd.n","cutoff","k"
2,1.71190428843668,0.933250330650873,1.16310677359016,1.40278639493412,1.27207224883446,2
3,-0.437252190618626,0.523042646475509,-1.08213017616695,0.730115314832965,-0.817323793221425,3
4,-0.179416551637084,0.568780632601565,-0.807347003304439,0.679873420125729,-0.398843618272396,4
5,0.130538062229247,0.60378162535149,-0.452708320573154,0.617752989951494,-0.0698832427855037,5
6,-0.118567497934025,0.682364756550938,-0.941903429731876,0.495328971154234,-0.41730262139971,6
7,-0.157344978637577,0.709013585830663,-0.994837801591481,0.479116666416631,-0.449975747576998,7
8,-0.0651257323215085,0.560431601874242,-0.844316726132825,0.361052318309104,-0.371819394230231,8
9,-0.076823418183378,0.560732469479541,-0.856845196522511,0.363538068606869,-0.385581077662144,9
10,-0.0982781727678456,0.521484575446847,-0.790076909302981,0.335560071597089,-0.36103410247415,10
11,0.242683140630698,0.466582374205049,-0.556173964727791,0.339543260921363,-0.0735892199085081,11
12,0.21936524959068,0.580956867530139,-0.705291780262254,0.271718552547154,-0.148249994261745,12
13,0.325403179614651,0.553885729110569,-0.611295970214749,0.261311312654002,-0.0582854272339872,13
14,0.683626128395027,0.61966266855181,-0.31612499872259,0.240056599331638,0.276630716226618,14
15,0.499802955843061,0.529071639875989,-0.486266834335511,0.244620317234161,0.0740517042769018,15
16,0.611206201744819,0.493858369874009,-0.403069428360971,0.243808084578378,0.168811753244851,16
17,0.55633080175399,0.490086658270249,-0.454081750296871,0.246501750503794,0.114179563844739,17
18,0.472850544530882,0.502005916204122,-0.555742860675898,0.253431902918076,0.0291042263984311,18
19,0.257525238213885,0.521969873452417,-0.7031253819803,0.259482880394255,-0.155125273909286,19
20,0.247473169524787,0.483954532006416,-0.713941738064935,0.278363378492388,-0.159227323018029,20
21,0.568002412023712,0.456288371007942,-0.420890944260572,0.2505337832565,0.137324805493286,21
22,0.465332888732875,0.435813552978487,-0.370603956754887,0.224818045984089,0.0901478640881713,22
23,0.434657458205901,0.444357963074138,-0.386428442871585,0.216282574246788,0.0657440069389835,23
24,0.64366544600305,0.371628533929159,-0.100370916180984,0.228734250332944,0.294219228286328,24
25,0.639285424853327,0.34060142216283,-0.076168465260252,0.238375549057024,0.293377929476907,25
26,0.655890792115967,0.340251130685832,-0.0479718928154474,0.233495838644621,0.31351925193464,26
27,0.801023694912443,0.295467709087935,-0.0768954084156505,0.212826738913042,0.361805416321478,27
28,0.85308202561049,0.273086702028658,0.0381177894821995,0.201367625105634,0.44234614398043,28
29,1.21090775307257,0.241716804374831,0.38030943345178,0.185232677670528,0.795306060724873,29
30,0.934496708973961,0.220894368851578,0.155259813581525,0.161072641207759,0.548903017854069,30
31,0.824337027378669,0.221442774715007,0.123505326524129,0.172318389005479,0.476783138512611,31
32,1.35242627939137,0.164639735837239,0.62951955181914,0.178203907151614,0.991391373261576,32
33,1.21143203681222,0.152289498937301,0.501095441157369,0.151939332644525,0.850264734476943,33
34,1.18138238743284,0.136644222826114,0.503453119001387,0.145485221321083,0.837848708250646,34
35,1.16009888202694,0.168486725613857,0.456738103710136,0.165421448666732,0.795816345004792,35
36,-0.298278535395736,0.11800887336473,-0.768833421774389,0.0539672916264066,-0.534495819743122,36
37,-0.00435683976815587,0.0995237630245426,-0.422034124247189,0.0682775717464881,-0.212719706662794,37
38,0.0559078463526636,0.0790227367785441,-0.286692939265208,0.0583299153278733,-0.113076852654117,38
39,0.479277282026439,0.0921577049735313,0.151527573946134,0.0141200669586036,0.319658744877481,39
