"n.dims","mu.p","sd.p","mu.n","sd.n","cutoff","k"
2,1.5657500348015,7.10180509795828,-0.517479636179179,5.11570217771999,0.215739847987236,2
3,1.36269498427773,6.79785194093255,-0.807886530598911,4.95019553192333,0.215056166489213,3
4,1.74392457976415,6.65538184988294,-1.1004572344577,3.95967215338313,0.217580328422827,4
5,0.863341973621859,3.06474829956671,-1.70173225542389,2.64384505152405,0.37094549409678,5
6,0.844204317876065,3.28750194986678,-1.80570185062795,2.96528637198947,0.395496279968505,6
7,1.39598686191472,3.25163871641489,-1.45109999651281,2.71310299375101,0.464344504564118,7
8,1.20939007505442,3.24881865698164,-1.53856424853532,2.54486879697712,0.472090836376726,8
9,1.25947798163988,3.11419234968797,-1.43457331145028,2.78696929923061,0.472839139413567,9
10,1.00251165941424,3.02185294097138,-1.46896619813416,2.15203007926009,0.490420780493747,10
11,1.09577309104025,3.0079748633514,-1.25582125523484,1.48122661975088,0.497753384453534,11
12,1.42070456922245,2.42870330115493,-0.971232950526531,1.66943553712851,0.483047896043028,12
13,1.45700508974234,2.51024665830864,-0.909094171402927,1.63588949329483,0.48588471944525,13
14,1.58372559163045,1.4528447183144,-0.545028015825869,1.693465081533,0.469965100803644,14
15,1.79595386270367,1.52054754944468,-0.520426198039173,1.76224712665283,0.470378755738021,15
16,1.79561052811088,1.67490919737208,-0.573322965097894,1.60280791397042,0.476808559234436,16
17,1.79380768116952,1.65488717680722,-0.583425639658909,1.60679820241592,0.476733550454461,17
18,1.81439760114755,1.60362452102104,-0.519495597618227,1.64870577516214,0.475475806514121,18
19,1.81944904245195,1.61596764123148,-0.54321029645711,1.62708751898749,0.473588739924518,19
20,1.81766566791643,1.61519607479443,-0.541384341738767,1.63061434099815,0.473480907796626,20
21,1.75925002290752,1.47960914485815,-0.851946241410079,1.3652725884278,0.446603981879708,21
22,1.79554807716638,1.47615642020897,-0.843359834335752,1.43294501456657,0.440213262215069,22
23,1.8193809616469,1.5294287781713,-0.915585587752269,1.32267688315287,0.434083119644736,23
24,1.75049603679102,1.53470015064846,-0.927043181325791,1.29444212831786,0.430100017761303,24
25,1.77980523021415,1.47044045831747,-0.886493559221396,1.36137454143001,0.42676875714638,25
26,1.770584207184,1.45034641828599,-0.942524441306308,1.32581713682665,0.421308604193123,26
27,1.66964730592066,1.12973704663601,-0.951607453816922,0.900736724259962,0.389407355142734,27
28,1.6854457404937,1.09714608265091,-0.947167907936391,0.893722985402013,0.386860552993645,28
29,1.5976428271483,0.841220264563656,-0.906522600573194,0.730307942482489,0.36810108224405,29
30,1.48528797937383,0.765617222682126,-0.957988469616216,0.470915070516636,0.342460087312826,30
31,1.42785540254124,0.558538750810104,-0.950575642581595,0.45621047942478,0.312212673725855,31
32,1.42068907062551,0.290794800877871,-0.828010233159856,0.420304082306802,0.298944705584134,32
33,1.42225872886693,0.282750802029012,-0.827065811975996,0.425611228477014,0.299036684308903,33
34,1.41460939032156,0.0496446529807648,-0.793391839941077,0.337683944436044,0.290316412567693,34
35,1.40309961042979,0.0779223992923796,-0.816456976666306,0.281241061152448,0.289294333738224,35
36,1.40684577645603,0.0622249834252974,-0.824957138085441,0.277394072363909,0.289322506094639,36
37,1.40777910256641,0.0632544733567139,-0.819749067801385,0.273474955663963,0.289234639590657,37
38,1.41639280394101,0.0419250425869741,-0.819420647254312,0.279042036676839,0.289129750795571,38
39,1.40045046445758,0.0492920005165225,-0.798166995241093,0.229187900350724,0.28491286232079,39
