"method","n.dims","left.out.obs","fn","fp"
"CCA-LDA",2,1,5,15
"CCA-LDA",2,2,6,12
"CCA-LDA",2,3,5,12
"CCA-LDA",2,4,6,9
"CCA-LDA",2,5,4,8
"CCA-LDA",2,6,5,6
"CCA-LDA",2,7,5,9
"CCA-LDA",2,8,5,11
"CCA-LDA",2,9,9,11
"CCA-LDA",2,10,8,14
"CCA-LDA",2,11,4,11
"CCA-LDA",2,12,5,12
"CCA-LDA",2,13,7,10
"CCA-LDA",2,14,6,12
"CCA-LDA",2,15,7,7
"CCA-LDA",2,16,3,10
"CCA-LDA",2,17,9,12
"CCA-LDA",2,18,5,12
"CCA-LDA",2,19,8,6
"CCA-LDA",2,20,6,8
"CCA-LDA",2,21,6,8
"CCA-LDA",2,22,5,11
"CCA-LDA",2,23,6,7
"CCA-LDA",2,24,5,10
"CCA-LDA",2,25,6,11
"CCA-LDA",2,26,3,10
"CCA-LDA",2,27,5,11
"CCA-LDA",2,28,5,7
"CCA-LDA",2,29,5,11
"CCA-LDA",2,30,5,6
"CCA-LDA",2,31,8,5
"CCA-LDA",2,32,5,14
"CCA-LDA",2,33,4,9
"CCA-LDA",2,34,5,12
"CCA-LDA",2,35,9,9
"CCA-LDA",2,36,8,6
"CCA-LDA",2,37,6,14
"CCA-LDA",2,38,6,6
"CCA-LDA",2,39,4,11
"CCA-LDA",2,40,6,9
"CCA-LDA",2,41,6,10
"CCA-LDA",2,42,5,9
"CCA-LDA",2,43,5,14
"CCA-LDA",3,1,6,10
"CCA-LDA",3,2,5,10
"CCA-LDA",3,3,6,9
"CCA-LDA",3,4,3,7
"CCA-LDA",3,5,3,10
"CCA-LDA",3,6,5,6
"CCA-LDA",3,7,6,7
"CCA-LDA",3,8,5,9
"CCA-LDA",3,9,6,13
"CCA-LDA",3,10,5,9
"CCA-LDA",3,11,5,10
"CCA-LDA",3,12,5,12
"CCA-LDA",3,13,5,6
"CCA-LDA",3,14,6,12
"CCA-LDA",3,15,5,8
"CCA-LDA",3,16,3,12
"CCA-LDA",3,17,5,11
"CCA-LDA",3,18,6,14
"CCA-LDA",3,19,7,7
"CCA-LDA",3,20,7,8
"CCA-LDA",3,21,6,8
"CCA-LDA",3,22,4,9
"CCA-LDA",3,23,6,9
"CCA-LDA",3,24,5,10
"CCA-LDA",3,25,6,10
"CCA-LDA",3,26,3,6
"CCA-LDA",3,27,6,10
"CCA-LDA",3,28,7,8
"CCA-LDA",3,29,4,10
"CCA-LDA",3,30,6,6
"CCA-LDA",3,31,8,7
"CCA-LDA",3,32,6,10
"CCA-LDA",3,33,4,10
"CCA-LDA",3,34,3,10
"CCA-LDA",3,35,7,9
"CCA-LDA",3,36,7,8
"CCA-LDA",3,37,5,12
"CCA-LDA",3,38,3,4
"CCA-LDA",3,39,6,13
"CCA-LDA",3,40,6,8
"CCA-LDA",3,41,7,8
"CCA-LDA",3,42,5,9
"CCA-LDA",3,43,7,13
"CCA-LDA",4,1,6,10
"CCA-LDA",4,2,3,8
"CCA-LDA",4,3,6,9
"CCA-LDA",4,4,4,7
"CCA-LDA",4,5,3,9
"CCA-LDA",4,6,5,7
"CCA-LDA",4,7,6,6
"CCA-LDA",4,8,5,8
"CCA-LDA",4,9,7,6
"CCA-LDA",4,10,5,8
"CCA-LDA",4,11,5,10
"CCA-LDA",4,12,5,12
"CCA-LDA",4,13,3,9
"CCA-LDA",4,14,6,12
"CCA-LDA",4,15,5,7
"CCA-LDA",4,16,3,11
"CCA-LDA",4,17,5,12
"CCA-LDA",4,18,6,14
"CCA-LDA",4,19,8,8
"CCA-LDA",4,20,6,7
"CCA-LDA",4,21,5,8
"CCA-LDA",4,22,5,8
"CCA-LDA",4,23,4,5
"CCA-LDA",4,24,3,11
"CCA-LDA",4,25,6,10
"CCA-LDA",4,26,3,8
"CCA-LDA",4,27,3,7
"CCA-LDA",4,28,7,9
"CCA-LDA",4,29,2,8
"CCA-LDA",4,30,5,7
"CCA-LDA",4,31,8,7
"CCA-LDA",4,32,6,12
"CCA-LDA",4,33,6,9
"CCA-LDA",4,34,3,10
"CCA-LDA",4,35,4,9
"CCA-LDA",4,36,3,6
"CCA-LDA",4,37,5,12
"CCA-LDA",4,38,3,6
"CCA-LDA",4,39,6,11
"CCA-LDA",4,40,5,9
"CCA-LDA",4,41,6,9
"CCA-LDA",4,42,4,5
"CCA-LDA",4,43,7,11
"CCA-LDA",5,1,6,10
"CCA-LDA",5,2,3,7
"CCA-LDA",5,3,5,10
"CCA-LDA",5,4,5,8
"CCA-LDA",5,5,4,9
"CCA-LDA",5,6,4,7
"CCA-LDA",5,7,5,4
"CCA-LDA",5,8,4,9
"CCA-LDA",5,9,6,9
"CCA-LDA",5,10,4,4
"CCA-LDA",5,11,5,9
"CCA-LDA",5,12,3,10
"CCA-LDA",5,13,3,8
"CCA-LDA",5,14,4,11
"CCA-LDA",5,15,5,6
"CCA-LDA",5,16,3,11
"CCA-LDA",5,17,5,12
"CCA-LDA",5,18,6,10
"CCA-LDA",5,19,4,8
"CCA-LDA",5,20,5,8
"CCA-LDA",5,21,5,8
"CCA-LDA",5,22,6,10
"CCA-LDA",5,23,3,6
"CCA-LDA",5,24,5,8
"CCA-LDA",5,25,5,11
"CCA-LDA",5,26,4,5
"CCA-LDA",5,27,3,8
"CCA-LDA",5,28,6,7
"CCA-LDA",5,29,3,8
"CCA-LDA",5,30,4,7
"CCA-LDA",5,31,5,7
"CCA-LDA",5,32,3,10
"CCA-LDA",5,33,5,7
"CCA-LDA",5,34,5,10
"CCA-LDA",5,35,5,7
"CCA-LDA",5,36,3,6
"CCA-LDA",5,37,5,9
"CCA-LDA",5,38,4,6
"CCA-LDA",5,39,5,9
"CCA-LDA",5,40,2,6
"CCA-LDA",5,41,5,8
"CCA-LDA",5,42,4,6
"CCA-LDA",5,43,4,8
"CCA-LDA",6,1,7,8
"CCA-LDA",6,2,4,7
"CCA-LDA",6,3,5,10
"CCA-LDA",6,4,2,7
"CCA-LDA",6,5,2,8
"CCA-LDA",6,6,3,7
"CCA-LDA",6,7,5,6
"CCA-LDA",6,8,6,10
"CCA-LDA",6,9,4,8
"CCA-LDA",6,10,4,5
"CCA-LDA",6,11,3,8
"CCA-LDA",6,12,3,10
"CCA-LDA",6,13,3,7
"CCA-LDA",6,14,4,12
"CCA-LDA",6,15,2,7
"CCA-LDA",6,16,3,10
"CCA-LDA",6,17,4,9
"CCA-LDA",6,18,4,10
"CCA-LDA",6,19,4,8
"CCA-LDA",6,20,6,9
"CCA-LDA",6,21,4,7
"CCA-LDA",6,22,4,9
"CCA-LDA",6,23,4,5
"CCA-LDA",6,24,3,6
"CCA-LDA",6,25,5,9
