"sim","method","n.dims","fn","fp"
1,"CCA-LDA",2,0.125775983988975,0.289002686604342
1,"CCA-LDA",3,0.0832584840012508,0.23875617030455
1,"CCA-LDA",4,0.0765351275055381,0.225976610719287
1,"CCA-LDA",5,0.0801036409837629,0.224854301351753
1,"CCA-LDA",6,0.0689832347976029,0.127305060635781
1,"CCA-LDA",7,0.0698432998989558,0.123201778357915
1,"CCA-LDA",8,0.0688742606488473,0.0838688534666579
1,"CCA-LDA",9,0.0802849843110278,0.0955105445743648
1,"CCA-LDA",10,0.0840703435613896,0.0871853499775633
1,"CCA-LDA",11,0.0790465695975561,0.0628726193471307
1,"CCA-LDA",12,0.0268212705580139,0.0509457170598473
1,"CCA-LDA",13,0.0190781345258481,0.0410850046560405
1,"CCA-LDA",14,0.0166087289113456,0.0402165122869103
1,"CCA-LDA",15,0.00955021364077877,0.0379790714283136
1,"CCA-LDA",16,0.00864506965092852,0.0337160287160025
1,"CCA-LDA",17,0.00550250230267,0.0222056669008972
1,"CCA-LDA",18,0.00549707187809659,0.0226768569224896
1,"CCA-LDA",19,0.00368755182407348,0.0235166043893503
1,"CCA-LDA",20,0.00537574845074003,0.025201830667849
1,"CCA-LDA",21,0.0037563138355343,0.0318829871705503
1,"CCA-LDA",22,0.00529974138147652,0.028276608347807
1,"CCA-LDA",23,0.00503700727378714,0.0270415797650886
1,"CCA-LDA",24,0.0101163066692039,0.0192226976862401
1,"CCA-LDA",25,0.0120785261935739,0.0269537339307289
1,"CCA-LDA",26,0.00362045686989186,0.0275016634975348
1,"CCA-LDA",27,0.00329692603710924,0.00828530101670314
1,"CCA-LDA",28,0.000469372103284201,0.01663380249143
1,"CCA-LDA",29,0.000306012474690085,0.0148789810640424
1,"CCA-LDA",30,0.000938943656074117,0.010623571081628
1,"CCA-LDA",31,0.000130375164814484,0.0160339576410782
1,"CCA-LDA",32,6.19641482052298e-05,0.0236666078046222
1,"CCA-LDA",33,0.00306230966544482,0.0140732876947514
1,"CCA-LDA",34,0.00971357056668065,0.00219554099889107
1,"CCA-LDA",35,0.0332657613067921,0.00289563122727117
1,"CCA-LDA",36,0.00189205494499773,1.53950492803408e-09
1,"CCA-LDA",37,0.00216216405096911,2.39406989494163e-08
1,"CCA-LDA",38,0.00127963428834832,9.09377538167448e-08
1,"CCA-LDA",39,0.00312308201391456,1.90185646436434e-12
1,"PCA-LDA",2,0.186787800317053,0.204889689684992
1,"PCA-LDA",3,0.174862404692661,0.20791081711516
1,"PCA-LDA",4,0.163860118004006,0.175340581430035
1,"PCA-LDA",5,0.159735186297868,0.164944718857552
1,"PCA-LDA",6,0.138284332835664,0.118351136689014
