"sim","method","n.dims","err","n.dims.min","n.dims.max","CV","Pi","Alt"
1,"CCA-LDA",27,3,NA,NA,1,1,2
1,"PCA-LDA",35,0,NA,NA,1,1,2
10,"CCA-LDA",36,4,NA,NA,1,1,2
10,"PCA-LDA",25,1,NA,NA,1,1,2
100,"CCA-LDA",35,2,NA,NA,1,1,2
100,"PCA-LDA",39,0,NA,NA,1,1,2
101,"CCA-LDA",25,7,NA,NA,1,1,2
101,"PCA-LDA",35,1,NA,NA,1,1,2
102,"CCA-LDA",37,3,NA,NA,1,1,2
102,"PCA-LDA",33,0,NA,NA,1,1,2
103,"CCA-LDA",37,4,NA,NA,1,1,2
103,"PCA-LDA",39,0,NA,NA,1,1,2
104,"CCA-LDA",30,4,NA,NA,1,1,2
104,"PCA-LDA",35,3,NA,NA,1,1,2
105,"CCA-LDA",3,6,NA,NA,1,1,2
105,"PCA-LDA",35,0,NA,NA,1,1,2
106,"CCA-LDA",38,2,NA,NA,1,1,2
106,"PCA-LDA",31,0,NA,NA,1,1,2
107,"CCA-LDA",31,4,NA,NA,1,1,2
107,"PCA-LDA",37,0,NA,NA,1,1,2
108,"CCA-LDA",33,4,NA,NA,1,1,2
108,"PCA-LDA",33,0,NA,NA,1,1,2
109,"CCA-LDA",31,2,NA,NA,1,1,2
109,"PCA-LDA",37,0,NA,NA,1,1,2
11,"CCA-LDA",38,4,NA,NA,1,1,2
11,"PCA-LDA",37,1,NA,NA,1,1,2
110,"CCA-LDA",36,5,NA,NA,1,1,2
110,"PCA-LDA",34,1,NA,NA,1,1,2
111,"CCA-LDA",25,3,NA,NA,1,1,2
111,"PCA-LDA",30,0,NA,NA,1,1,2
112,"CCA-LDA",32,2,NA,NA,1,1,2
112,"PCA-LDA",37,0,NA,NA,1,1,2
113,"CCA-LDA",33,4,NA,NA,1,1,2
113,"PCA-LDA",33,0,NA,NA,1,1,2
114,"CCA-LDA",34,2,NA,NA,1,1,2
114,"PCA-LDA",37,0,NA,NA,1,1,2
115,"CCA-LDA",28,3,NA,NA,1,1,2
115,"PCA-LDA",37,0,NA,NA,1,1,2
116,"CCA-LDA",34,1,NA,NA,1,1,2
116,"PCA-LDA",39,0,NA,NA,1,1,2
117,"CCA-LDA",27,0,NA,NA,1,1,2
117,"PCA-LDA",30,0,NA,NA,1,1,2
118,"CCA-LDA",20,3,NA,NA,1,1,2
118,"PCA-LDA",33,2,NA,NA,1,1,2
119,"CCA-LDA",36,3,NA,NA,1,1,2
119,"PCA-LDA",32,0,NA,NA,1,1,2
12,"CCA-LDA",10,4,NA,NA,1,1,2
12,"PCA-LDA",37,1,NA,NA,1,1,2
120,"CCA-LDA",31,6,NA,NA,1,1,2
120,"PCA-LDA",24,1,NA,NA,1,1,2
121,"CCA-LDA",36,3,NA,NA,1,1,2
121,"PCA-LDA",39,0,NA,NA,1,1,2
122,"CCA-LDA",27,2,NA,NA,1,1,2
122,"PCA-LDA",17,1,NA,NA,1,1,2
123,"CCA-LDA",20,5,NA,NA,1,1,2
123,"PCA-LDA",38,0,NA,NA,1,1,2
124,"CCA-LDA",32,4,NA,NA,1,1,2
124,"PCA-LDA",29,0,NA,NA,1,1,2
125,"CCA-LDA",28,3,NA,NA,1,1,2
125,"PCA-LDA",25,1,NA,NA,1,1,2
126,"CCA-LDA",37,2,NA,NA,1,1,2
126,"PCA-LDA",29,0,NA,NA,1,1,2
127,"CCA-LDA",39,4,NA,NA,1,1,2
127,"PCA-LDA",34,0,NA,NA,1,1,2
128,"CCA-LDA",28,1,NA,NA,1,1,2
128,"PCA-LDA",31,0,NA,NA,1,1,2
129,"CCA-LDA",28,2,NA,NA,1,1,2
129,"PCA-LDA",37,0,NA,NA,1,1,2
13,"CCA-LDA",35,4,NA,NA,1,1,2
13,"PCA-LDA",32,0,NA,NA,1,1,2
130,"CCA-LDA",34,6,NA,NA,1,1,2
130,"PCA-LDA",35,0,NA,NA,1,1,2
131,"CCA-LDA",33,2,NA,NA,1,1,2
131,"PCA-LDA",35,0,NA,NA,1,1,2
132,"CCA-LDA",35,0,NA,NA,1,1,2
132,"PCA-LDA",30,0,NA,NA,1,1,2
133,"CCA-LDA",13,9,NA,NA,1,1,2
133,"PCA-LDA",36,1,NA,NA,1,1,2
134,"CCA-LDA",27,5,NA,NA,1,1,2
134,"PCA-LDA",37,1,NA,NA,1,1,2
135,"CCA-LDA",39,3,NA,NA,1,1,2
135,"PCA-LDA",39,0,NA,NA,1,1,2
136,"CCA-LDA",20,3,NA,NA,1,1,2
136,"PCA-LDA",26,1,NA,NA,1,1,2
137,"CCA-LDA",31,4,NA,NA,1,1,2
137,"PCA-LDA",39,2,NA,NA,1,1,2
138,"CCA-LDA",37,2,NA,NA,1,1,2
138,"PCA-LDA",36,0,NA,NA,1,1,2
139,"CCA-LDA",33,5,NA,NA,1,1,2
139,"PCA-LDA",39,1,NA,NA,1,1,2
14,"CCA-LDA",39,2,NA,NA,1,1,2
14,"PCA-LDA",38,0,NA,NA,1,1,2
140,"CCA-LDA",37,1,NA,NA,1,1,2
140,"PCA-LDA",35,0,NA,NA,1,1,2
141,"CCA-LDA",33,7,NA,NA,1,1,2
141,"PCA-LDA",39,0,NA,NA,1,1,2
142,"CCA-LDA",16,4,NA,NA,1,1,2
142,"PCA-LDA",34,1,NA,NA,1,1,2
143,"CCA-LDA",39,2,NA,NA,1,1,2
143,"PCA-LDA",37,1,NA,NA,1,1,2
144,"CCA-LDA",26,3,NA,NA,1,1,2
144,"PCA-LDA",38,0,NA,NA,1,1,2
145,"CCA-LDA",37,3,NA,NA,1,1,2
145,"PCA-LDA",33,0,NA,NA,1,1,2
146,"CCA-LDA",23,3,NA,NA,1,1,2
146,"PCA-LDA",37,0,NA,NA,1,1,2
147,"CCA-LDA",34,4,NA,NA,1,1,2
147,"PCA-LDA",34,0,NA,NA,1,1,2
148,"CCA-LDA",15,6,NA,NA,1,1,2
148,"PCA-LDA",37,1,NA,NA,1,1,2
149,"CCA-LDA",38,4,NA,NA,1,1,2
