"n.dims","mu.p","sd.p","mu.n","sd.n","cutoff","k"
2,-0.00601937439963044,0.00591234267244525,-0.00948734933976336,0.00689768545721769,-0.00748976891356938,2
3,0.0114327387324627,0.00763932186171172,0.00644087366657898,0.00974662791174437,0.00949777392062485,3
4,-0.0120469860372595,0.0133805428421482,-0.0283476044883594,0.0161266437653465,-0.0178426949050198,4
5,-0.0124305469026142,0.0124341277678046,-0.0297256565459581,0.013692092191447,-0.0197031288138973,5
6,-0.0124091284542874,0.0140012116161905,-0.0325467068744063,0.0159423145855982,-0.0211299163194341,6
7,-0.0112052948101313,0.0138017328391917,-0.0302233215446787,0.0153589073451603,-0.0192689482100643,7
8,-0.0201393917667798,0.0369281544931625,-0.0868066618434475,0.0437990048514802,-0.0504796780075394,8
9,0.0104654948989065,0.00696673580218726,-0.00615447760723958,0.00833135756367129,0.00291299266534831,9
10,0.00884325345797136,0.00686571536237834,-0.00768175398826031,0.00821703198973023,0.00139477511230338,10
11,0.0118160946098275,0.00771021111223821,-0.00918652432949788,0.00915150589077631,0.00229078022469883,11
12,0.016442468941664,0.00856314799049497,-0.00754839111408589,0.00942035597528448,0.00555071478402396,12
13,0.0129387504952265,0.00410089700770426,0.00236784422231126,0.00441509270557606,0.00797773678416187,13
14,0.012993482347319,0.00410236377497309,0.00237783566302822,0.00440121496696133,0.00801094404827441,14
15,0.018748578834461,0.00369763818483538,0.00488328621905999,0.00568435934879045,0.0122840871001468,15
16,0.0175005249261538,0.00401170845515637,0.00261995211624014,0.00438884202229498,0.0105268180129386,16
17,0.0242745559021027,0.00357031582005958,0.00754042837616714,0.00467363480877023,0.0163846332373227,17
18,0.0204863854887621,0.00372677826268749,0.00616382273083035,0.00391310605420819,0.0137043485240711,18
19,0.0252094803906656,0.0034053553578314,0.00764492421163921,0.00454154204811437,0.0168100587267016,19
20,0.0386604642671335,0.00462995368132996,0.0126591966163167,0.00540641244345887,0.0258893761568852,20
21,0.0396861815509521,0.00496611584723041,0.0111544090190035,0.0062415370485095,0.0255529750118988,21
22,0.0355210979709292,0.00456033746490422,0.00939809790683715,0.00602498551494757,0.0225297080454532,22
23,0.0336937919939287,0.00410262153758672,0.007677764727672,0.00609006279698686,0.0206072108149384,23
24,0.0359171384470822,0.00417135328731322,0.0100122182168569,0.00602000997861832,0.023002795728244,24
25,0.0352975683946543,0.00437607011714617,0.00907678055718199,0.00596695225065704,0.0223897951059818,25
26,0.0284352019772375,0.0047174452521379,0.00702579971305597,0.00431018775782519,0.0178799772544144,26
27,0.0246288316716031,0.00497004575193621,0.00408737998465152,0.00415308740334399,0.0143980329700079,27
28,0.0369419638370488,0.00508379508054953,0.0215051475702079,0.00273533565165388,0.0290639498931201,28
29,0.0499836867295217,0.00856755593544756,0.0288601516253,0.00404831671503362,0.0398086311612583,29
30,0.0498682657623201,0.00856213413740125,0.0285148533090692,0.0041068935946064,0.0395692901453944,30
31,0.040373836474668,0.00570338322473094,0.0215145302804952,0.00367047751178997,0.0311598944546067,31
32,0.0523387755135382,0.00643051700115044,0.0279651814581423,0.00341971688562727,0.0403240617473161,32
33,0.0533553742036955,0.0064809221627919,0.0286907640026419,0.00344906620819783,0.0411823092509116,33
34,0.0634295491636712,0.00742032589279618,0.0334298253649082,0.00467352290482047,0.0486862807678896,34
35,0.0713164466713188,0.00797997971820481,0.0394224266955421,0.00502805246551063,0.0557826156082809,35
36,0.0721508217677346,0.00806707942107385,0.0398933673911081,0.00509988851028996,0.0564500430655754,36
37,0.0471024559277394,0.00429869253201319,0.0307835174597056,0.00506708824284351,0.0387913948653767,37
38,0.0451897891811342,0.000687078562728603,0.024566576907437,0.00334229491867318,0.0348057957602061,38
39,0.0396890777269027,0.00343177272495122,0.0238938580008375,0.00449210718882578,0.0316696366880658,39
