"n.dims","mu.p","sd.p","mu.n","sd.n","cutoff","k"
2,0.0200106784101366,6.5819892445936,-0.968661799564173,4.93445070457881,0.0676817778296457,2
3,2.5325719761388,3.11297418389938,0.0975655760526638,3.63180711540809,0.538369475349474,3
4,2.75409185251021,3.71887830088058,-0.0638801928035104,3.41163021722134,0.584404092070623,4
5,2.60636874956658,3.6596826528955,-0.139470782417985,3.43913087018086,0.590217563134977,5
6,2.57375395876405,3.5586834963108,-0.210312717901748,3.67465096319731,0.590761511565959,6
7,2.57771746882315,3.35620388841073,-0.203167724757897,3.72212894436839,0.584233949912989,7
8,2.75247408908948,3.502248085176,-0.468498763385594,3.12769538238243,0.573994184297591,8
9,2.8454802140093,3.49832612614164,-0.683197766326535,3.04882853112756,0.560595896439887,9
10,2.43403533182842,3.30956313050681,-0.885584636981596,2.6731253079213,0.534961973507008,10
11,2.40442063939918,3.34912463758412,-0.860060375471648,2.67443358931849,0.515180649421453,11
12,2.19030127492792,2.19205508228582,-0.704035600435675,1.82936342115515,0.498568023700459,12
13,2.3862530704662,2.27746002172383,-0.917982163212091,1.52238688020886,0.500817138006538,13
14,2.25886926294673,2.01433721546555,-1.02884303620059,1.51272378318787,0.490211400830509,14
15,2.16028460580009,1.94892725239103,-0.959082506084031,1.38952864136747,0.49057794502355,15
16,2.13023820718868,1.83378874573585,-0.979766473791409,1.39398157227506,0.478759212531617,16
17,2.09042039767808,1.84279641189251,-1.03645553784184,1.34941739952514,0.474371441537922,17
18,2.16646237123458,1.9820083686528,-1.03431129446618,1.28352545479043,0.468740233658701,18
19,2.14568827482697,1.9691714783501,-1.03508217815959,1.25694208461199,0.469137144678011,19
20,2.10035987928865,1.82962265777569,-1.0058232853532,1.30050813317587,0.461535554495267,20
21,2.11706789807655,1.86254793919567,-0.960704358763672,0.8025552163803,0.434377083767212,21
22,2.0306044858116,1.57591588345765,-0.876878314799433,0.826762536948688,0.414486782481313,22
23,1.83371068973252,1.23624832234346,-0.817662549770884,0.914494543816776,0.390371749074128,23
24,1.84019742289057,1.23175505976075,-0.819511143615342,0.91392824364043,0.390292194410456,24
25,1.70607622568742,1.33196342501066,-0.882548866199116,0.811284745978452,0.385976669440445,25
26,1.76405850814187,1.35469823091822,-0.884603766250427,0.750120617890975,0.382219707790561,26
27,1.77099308141617,1.3029209325193,-0.921098705802869,0.691798129685216,0.375681028037651,27
28,1.76960775353303,1.23449875813755,-0.888645317044668,0.693229317589837,0.375035014234288,28
29,1.74878146195894,1.16158560200564,-0.891979997821637,0.735818326110929,0.373525924760848,29
30,1.63609970614899,0.817188740833665,-0.796898601587,0.73383318589141,0.34571491440874,30
31,1.60535095724648,0.758315934781919,-0.795629731509218,0.722390749858288,0.343115962620024,31
32,1.59089872305023,0.719657588713664,-0.786485969473727,0.691887236695963,0.340913078397904,32
33,1.58478650191038,0.771127048529802,-0.822096708872406,0.629947800268246,0.340371540535178,33
34,1.39731404444167,0.413089075729944,-0.807074204680685,0.480436770319389,0.303505167411485,34
35,1.34912755534518,0.327211070748615,-0.811986362102466,0.231664694526095,0.292568091259196,35
36,1.34079791443709,0.340934264101756,-0.81732407094649,0.206553108455923,0.291895878004898,36
37,1.39195063528418,0.157866845317081,-0.807148096043088,0.154012322636595,0.284526062935697,37
38,1.39116589497122,0.158866783111186,-0.80754813497277,0.154317759984347,0.284455430870631,38
39,1.3919497717547,0.148014699280076,-0.808378467268753,0.144608587974615,0.284283789034083,39
